,MACD
20160104,-0.019
20160105,-0.019
20160106,-0.019
20160107,-0.019
20160108,-0.019
20160111,-0.019
20160112,-0.019
20160113,-0.019
20160114,-0.019
20160115,-0.019
20160118,-0.019
20160119,-0.019
20160120,-0.019
20160121,-0.019
20160122,-0.019
20160125,-0.019
20160126,-0.019
20160127,-0.019
20160128,-0.019
20160129,-0.019
20160201,-0.019
20160202,-0.019
20160203,-0.019
20160204,-0.019
20160205,-0.019
20160215,-0.019
20160216,-0.019
20160217,-0.019
20160218,-0.019
20160219,-0.019
20160222,-0.019
20160223,-0.019
20160224,-0.019
20160225,-0.019
20160226,-0.019
20160229,-0.019
20160301,-0.019
20160302,-0.019
20160303,-0.019
20160304,-0.019
20160307,-0.019
20160308,-0.019
20160309,-0.019
20160310,-0.019
20160311,-0.019
20160314,-0.019
20160315,-0.019
20160316,-0.019
20160317,-0.019
20160318,-0.019
20160321,-0.019
20160322,-0.019
20160323,-0.019
20160324,-0.019
20160325,-0.019
20160328,-0.019
20160329,-0.019
20160330,-0.019
20160331,-0.019
20160401,-0.019
20160405,-0.019
20160406,-0.019
20160407,-0.019
20160408,-0.019
20160411,-0.019
20160412,-0.019
20160413,-0.019
20160414,-0.019
20160415,-0.019
20160418,-0.019
20160419,-0.019
20160420,-0.019
20160421,-0.019
20160422,-0.019
20160425,-0.019
20160426,-0.019
20160427,-0.019
20160428,-0.019
20160429,-0.019
20160503,-0.019
20160504,-0.019
20160505,-0.019
20160506,-0.019
20160509,-0.019
20160510,-0.019
20160511,-0.019
20160512,-0.019
20160513,-0.019
20160516,-0.019
20160517,-0.019
20160518,-0.019
20160519,-0.019
20160520,-0.019
20160523,-0.019
20160524,-0.019
20160525,-0.019
20160526,-0.019
20160527,-0.019
20160530,-0.019
20160531,-0.019
20160601,-0.019
20160602,-0.019
20160603,-0.019
20160606,-0.019
20160607,-0.019
20160608,-0.019
20160613,-0.019
20160614,-0.019
20160615,-0.019
20160616,-0.019
20160617,-0.019
20160620,-0.019
20160621,-0.019
20160622,-0.019
20160623,-0.019
20160624,-0.019
20160627,-0.019
20160628,-0.019
20160629,-0.019
20160630,-0.019
20160701,-0.019
20160704,-0.019
20160705,-0.019
20160706,-0.019
20160707,-0.019
20160708,-0.019
20160711,-0.019
20160712,-0.019
20160713,-0.019
20160714,-0.019
20160715,-0.019
20160718,-0.019
20160719,-0.019
20160720,-0.019
20160721,-0.019
20160722,-0.019
20160725,-0.019
20160726,-0.019
20160727,-0.019
20160728,-0.019
20160729,-0.019
20160801,-0.019
20160802,-0.019
20160803,-0.019
20160804,-0.019
20160805,-0.019
20160808,-0.019
20160809,-0.019
20160810,-0.019
20160811,-0.019
20160812,-0.019
20160815,-0.019
20160816,-0.019
20160817,-0.019
20160818,-0.019
20160819,-0.019
20160822,-0.019
20160823,-0.019
20160824,-0.019
20160825,-0.019
20160826,-0.019
20160829,-0.019
20160830,-0.019
20160831,-0.019
20160901,-0.019
20160902,-0.019
20160905,-0.019
20160906,-0.019
20160907,-0.019
20160908,-0.019
20160909,-0.019
20160912,-0.019
20160913,-0.019
20160914,-0.019
20160919,-0.019
20160920,-0.019
20160921,-0.019
20160922,-0.019
20160923,-0.019
20160926,-0.019
20160927,-0.019
20160928,-0.019
20160929,-0.019
20160930,-0.019
20161010,-0.019
20161011,-0.019
20161012,-0.019
20161013,-0.019
20161014,-0.019
20161017,-0.019
20161018,-0.019
20161019,-0.019
20161020,-0.019
20161021,-0.019
20161024,-0.019
20161025,-0.019
20161026,-0.019
20161027,-0.019
20161028,-0.019
20161031,-0.019
20161101,-0.019
20161102,-0.019
20161103,-0.019
20161104,-0.019
20161107,-0.019
20161108,-0.019
20161109,-0.019
20161110,-0.019
20161111,-0.019
20161114,-0.019
20161115,-0.019
20161116,-0.019
20161117,-0.019
20161118,-0.019
20161121,-0.019
20161122,-0.019
